chemical_class,f1,false_positives,false_negatives
aldopentose,0.967741935483871,"[{'smiles': 'O1C(O)([C@@H](O)[C@@H](O)C1)CO', 'name': '(3S,4S)-2-(Hydroxymethyl)oxolane-2,3,4-triol', 'reason': 'Aldopentose in furanose form with correct number of carbons, oxygens, and hydroxyls'}]",
phosphatidylcholine,0.9668874172185431,"[{'smiles': 'P(OC[C@H](OC(=O)CCC/C=C\\CC1C(C(O)CC1O)/C=C/C(O)CCCCC)COC(=O)CCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)([O-])=O', 'name': 'p-isopgf2-pc', 'reason': 'Contains glycerol backbone with two acyl chains and phosphocholine head group'}, {'smiles': 'CCCCCCCC\\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\\C=C/CCCCCCCC', 'name': 'dioleoyl phosphatidylcholine', 'reason': 'Contains glycerol backbone with two acyl chains and phosphocholine head group'}, {'smiles': 'CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCC[C@H]1O[C@@H]1\\C=C1/[C@@H](C\\C=C/CCCCC)C=CC1=O', 'name': '1-O-palmitoyl-2-O-(epoxyisoprostanoyl)-sn-glycero-3-phosphocholine', 'reason': 'Contains glycerol backbone with two acyl chains and phosphocholine head group'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C/C=C\\C/C=C\\CCCCCCCC)COC(=O)CCC\\C=C\\C[C@@H]1[C@H]([C@H](O)C[C@@H]1O)/C=C/[C@@H](O)CCCCC)([O-])=O', 'name': 'PC(PGF2alpha/20:3(5Z,8Z,11Z))', 'reason': 'Contains glycerol backbone with two acyl chains and phosphocholine head group'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C[C@@H]1[C@H]([C@H](O)CC1=O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCCCC=2OC(=C(C2C)C)CCCCC)([O-])=O', 'name': 'PC(DiMe(13,5)/PGE2)', 'reason': 'Contains glycerol backbone with two acyl chains and phosphocholine head group'}, {'smiles': 'P(OC[C@H](OC(=O)CCCCCC[C@@H]1[C@H]([C@H](O)C[C@@H]1O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CC)(OCC[N+](C)(C)C)([O-])=O', 'name': 'PC(18:4(6Z,9Z,12Z,15Z)/PGF1alpha)', 'reason': 'Contains glycerol backbone with two acyl chains and phosphocholine head group'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C[C@H]1[C@@H](O)CC(O[C@@H]1/C=C/[C@@H](O)CCCCC)O)COC(=O)CCCCCCCC/C=C\\C/C=C\\C/C=C\\CCCCCC)([O-])=O', 'name': 'PC(22:3(10Z,13Z,16Z)/TXB2)', 'reason': 'Contains glycerol backbone with two acyl chains and phosphocholine head group'}, {'smiles': 'P(OC[C@H](OC(=O)CCCCCC[C@@H]1[C@H]([C@H](O)CC1=O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCCCC=2OC(=C(C2C)C)CCCCC)(OCC[N+](C)(C)C)([O-])=O', 'name': 'PC(DiMe(13,5)/PGE1)', 'reason': 'Contains glycerol backbone with two acyl chains and phosphocholine head group'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C[C@@H]1[C@H]([C@H](O)CC1=O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCC=2OC(=C(C2C)C)CCCCC)([O-])=O', 'name': 'PC(DiMe(11,5)/PGE2)', 'reason': 'Contains glycerol backbone with two acyl chains and phosphocholine head group'}, {'smiles': 'CCCCCCCC\\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\\C=C/CCCCCCCC', 'name': '1,2-dioleoyl-sn-glycero-3-phosphocholine(1+)', 'reason': 'Contains glycerol backbone with two acyl chains and phosphocholine head group'}]",
very long-chain fatty acyl-CoA,0.9642857142857143,"[{'smiles': 'CCCCCCCCCCCCCCCCCCCCCCC(C(O)=O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12', 'name': '2-carboxytetracosanoyl-CoA', 'reason': 'Very long-chain fatty acyl-CoA with C24 fatty acid chain (hydroxylated)'}, {'smiles': '[H][C@@](C)(CCC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C', 'name': '3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-oyl-CoA', 'reason': 'Very long-chain fatty acyl-CoA with C24 fatty acid chain (hydroxylated)'}]",
glycerophosphocholine,0.9632829373650108,"[{'smiles': 'P(OC[C@H](OC(=O)CCC/C=C\\CC1C(C(O)CC1O)/C=C/C(O)CCCCC)COC(=O)CCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)([O-])=O', 'name': 'p-isopgf2-pc', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'CCCCCCCC\\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\\C=C/CCCCCCCC', 'name': 'dioleoyl phosphatidylcholine', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO[C@@H]2O[C@H](COP(O)(=O)OCC[N+](C)(C)C)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)\\C=C\\CCCCCCCCCCCCC', 'name': 'cholinephosphorylmannosylneogalabiaosylceramide', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO', 'name': 'choline alfoscerate', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCC[C@H]1O[C@@H]1\\C=C1/[C@@H](C\\C=C/CCCCC)C=CC1=O', 'name': '1-O-palmitoyl-2-O-(epoxyisoprostanoyl)-sn-glycero-3-phosphocholine', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C/C=C\\C/C=C\\CCCCCCCC)COC(=O)CCC\\C=C\\C[C@@H]1[C@H]([C@H](O)C[C@@H]1O)/C=C/[C@@H](O)CCCCC)([O-])=O', 'name': 'PC(PGF2alpha/20:3(5Z,8Z,11Z))', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCCCC)CO)([O-])=O', 'name': 'PC(0:0/6:0)', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C[C@@H]1[C@H]([C@H](O)CC1=O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCCCC=2OC(=C(C2C)C)CCCCC)([O-])=O', 'name': 'PC(DiMe(13,5)/PGE2)', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'P(OC[C@H](OC(=O)CCCCCC[C@@H]1[C@H]([C@H](O)C[C@@H]1O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CC)(OCC[N+](C)(C)C)([O-])=O', 'name': 'PC(18:4(6Z,9Z,12Z,15Z)/PGF1alpha)', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCCCCCCCCCCCCC)CO)([O-])=O', 'name': 'LPC(0:0/15:0)', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C[C@H]1[C@@H](O)CC(O[C@@H]1/C=C/[C@@H](O)CCCCC)O)COC(=O)CCCCCCCC/C=C\\C/C=C\\C/C=C\\CCCCCC)([O-])=O', 'name': 'PC(22:3(10Z,13Z,16Z)/TXB2)', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC)CO)([O-])=O', 'name': 'PC(0:0/4:0)', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)C=C)CO)([O-])=O', 'name': 'PC(0:0/3:1(2E))', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCCC)CO)([O-])=O', 'name': 'PC(0:0/5:0)', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'P(OC[C@H](OC(=O)CCCCCC[C@@H]1[C@H]([C@H](O)CC1=O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCCCC=2OC(=C(C2C)C)CCCCC)(OCC[N+](C)(C)C)([O-])=O', 'name': 'PC(DiMe(13,5)/PGE1)', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C[C@@H]1[C@H]([C@H](O)CC1=O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCC=2OC(=C(C2C)C)CCCCC)([O-])=O', 'name': 'PC(DiMe(11,5)/PGE2)', 'reason': 'Found free glycerol backbone connectivity'}, {'smiles': 'CCCCCCCC\\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\\C=C/CCCCCCCC', 'name': '1,2-dioleoyl-sn-glycero-3-phosphocholine(1+)', 'reason': 'Found free glycerol backbone connectivity'}]",
phosphatidylglycerol,0.9629629629629629,"[{'smiles': 'P(OC[C@H](OC(=O)CCCCCCCCCCCCCCCCC(CC)C)COC(=O)CCC\\C=C\\C[C@@H]1[C@H]([C@H](O)C[C@@H]1O)/C=C/[C@@H](O)CCCCC)(OC[C@@H](O)CO)(O)=O', 'name': 'PG(PGF2alpha/a-21:0)', 'reason': 'Contains glycerol backbone with 2 fatty acid chains and a phosphoglycerol group'}, {'smiles': 'O(C[C@H](COP(O)(=O)OC[C@H](COC(CCCCCCC/C=C\\CCCCCCCC)=O)O)OC(CCCCCCC/C=C\\CCCCCCCC)=O)C(CCCCCCC/C=C\\CCCCCCCC)=O', 'name': ""1,2-dioleoyl-sn-glycero-3-phospho-1'-(3'-oleoyl)-sn-glycerol"", 'reason': 'Contains glycerol backbone with 2 fatty acid chains and a phosphoglycerol group'}, {'smiles': 'P(OC[C@H](OC(=O)CCC/C=C\\C[C@H]1[C@@H](O)CC(O[C@@H]1/C=C/[C@@H](O)CCCCC)O)COC(=O)CCCCCCCCCCCCCCCC(C)C)(OC[C@@H](O)CO)(O)=O', 'name': 'PG(i-19:0/TXB2)', 'reason': 'Contains glycerol backbone with 2 fatty acid chains and a phosphoglycerol group'}, {'smiles': 'O(C[C@@H](COP(O)(=O)OC[C@H](COC(CCCCCCC/C=C\\CCCCCCCC)=O)O)O)C(CCCCCCC/C=C\\CCCCCCCC)=O', 'name': '(S,S)-bis-(3-oleoylglycero)-1-phosphate', 'reason': 'Contains glycerol backbone with 2 fatty acid chains and a phosphoglycerol group'}, {'smiles': 'P(OC[C@H](OC(=O)CCC/C=C\\C[C@@H]1[C@H](C(=O)C=C1)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCCCCCCCC(CC)C)(OC[C@@H](O)CO)(O)=O', 'name': 'PG(a-21:0/PGJ2)', 'reason': 'Contains glycerol backbone with 2 fatty acid chains and a phosphoglycerol group'}, {'smiles': 'P(OC[C@H](OC(=O)CCCCCCCCC/C=C\\CCCCCCCC)COC(=O)CCCCCCCCCCCC)(OC[C@@H](O)CO)(O)=O', 'name': 'pg(13:0/20:1(11z))', 'reason': 'Contains glycerol backbone with 2 fatty acid chains and a phosphoglycerol group'}]",
"1,2-diacyl-sn-glycero-3-phosphocholine",0.9627118644067796,"[{'smiles': 'P(OC[C@H](OC(=O)CCC/C=C\\CC1C(C(O)CC1O)/C=C/C(O)CCCCC)COC(=O)CCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)([O-])=O', 'name': 'p-isopgf2-pc', 'reason': 'Contains 1,2-diacyl-sn-glycero-3-phosphocholine features'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C/C=C\\C/C=C\\CCCCCCCC)COC(=O)CCC\\C=C\\C[C@@H]1[C@H]([C@H](O)C[C@@H]1O)/C=C/[C@@H](O)CCCCC)([O-])=O', 'name': 'PC(PGF2alpha/20:3(5Z,8Z,11Z))', 'reason': 'Contains 1,2-diacyl-sn-glycero-3-phosphocholine features'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C[C@@H]1[C@H]([C@H](O)CC1=O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCCCC=2OC(=C(C2C)C)CCCCC)([O-])=O', 'name': 'PC(DiMe(13,5)/PGE2)', 'reason': 'Contains 1,2-diacyl-sn-glycero-3-phosphocholine features'}, {'smiles': 'P(OC[C@H](OC(=O)CCCCCC[C@@H]1[C@H]([C@H](O)C[C@@H]1O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CC)(OCC[N+](C)(C)C)([O-])=O', 'name': 'PC(18:4(6Z,9Z,12Z,15Z)/PGF1alpha)', 'reason': 'Contains 1,2-diacyl-sn-glycero-3-phosphocholine features'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C[C@H]1[C@@H](O)CC(O[C@@H]1/C=C/[C@@H](O)CCCCC)O)COC(=O)CCCCCCCC/C=C\\C/C=C\\C/C=C\\CCCCCC)([O-])=O', 'name': 'PC(22:3(10Z,13Z,16Z)/TXB2)', 'reason': 'Contains 1,2-diacyl-sn-glycero-3-phosphocholine features'}, {'smiles': 'P(OC[C@H](OC(=O)CCCCCC[C@@H]1[C@H]([C@H](O)CC1=O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCCCC=2OC(=C(C2C)C)CCCCC)(OCC[N+](C)(C)C)([O-])=O', 'name': 'PC(DiMe(13,5)/PGE1)', 'reason': 'Contains 1,2-diacyl-sn-glycero-3-phosphocholine features'}, {'smiles': 'P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCC/C=C\\C[C@@H]1[C@H]([C@H](O)CC1=O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCC=2OC(=C(C2C)C)CCCCC)([O-])=O', 'name': 'PC(DiMe(11,5)/PGE2)', 'reason': 'Contains 1,2-diacyl-sn-glycero-3-phosphocholine features'}]",
phosphatidic acid,0.9533678756476685,"[{'smiles': 'P(OC[C@H](OC(=O)C/C=C\\C[C@H]1[C@H]([C@H](O)C[C@@H]1O)/C=C/[C@H](O)CCCCC)COC(=O)CCCCCCCCCCCCCCCCC)(O)(O)=O', 'name': 'PA(18:0/5-iso PGF2VI)', 'reason': 'Contains a phosphate group (with neutral head) and exactly two fatty acid esters attached to a connected three‐carbon glycerol backbone'}, {'smiles': 'P(OC[C@H](OC(=O)CCC/C=C\\[C@@H](O)/C=C/C=C\\C/C=C\\C=C\\[C@@H](O)C/C=C\\CC)COC(=O)CCCCCCCCCCCCC)(O)(O)=O', 'name': 'PA(14:0/22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S))', 'reason': 'Contains a phosphate group (with neutral head) and exactly two fatty acid esters attached to a connected three‐carbon glycerol backbone'}, {'smiles': 'O(C[C@@H](COC(CCCCCC=CCCCCCC)=O)OC(CCCCCC=CCCCCCC)=O)P(OP(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C(N=C(C=C2)N)=O)(=O)O)(=O)O', 'name': ""1,2-ditetradec-7-enoyl-sn-glycero-3-cytidine 5'-diphosphate"", 'reason': 'Contains a phosphate group (with neutral head) and exactly two fatty acid esters attached to a connected three‐carbon glycerol backbone'}, {'smiles': 'P(OC[C@H](OC(=O)CCCCCC[C@@H]1[C@H](C(=O)C[C@@H]1O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCCC)(O)(O)=O', 'name': 'PA(13:0/PGD1)', 'reason': 'Contains a phosphate group (with neutral head) and exactly two fatty acid esters attached to a connected three‐carbon glycerol backbone'}, {'smiles': 'CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O)OC(=O)CCCCCCCCCCCCCCC', 'name': 'CDP-dipalmitoyl-sn-glycerol', 'reason': 'Contains a phosphate group (with neutral head) and exactly two fatty acid esters attached to a connected three‐carbon glycerol backbone'}, {'smiles': 'P(OC[C@H](OC(=O)C/C=C\\C[C@H]1[C@H]([C@H](O)C[C@@H]1O)/C=C/[C@H](O)CCCCC)COC(=O)CCCCCCC/C=C\\C/C=C\\CCCCC)(O)(O)=O', 'name': 'PA(18:2(9Z,12Z)/5-iso PGF2VI)', 'reason': 'Contains a phosphate group (with neutral head) and exactly two fatty acid esters attached to a connected three‐carbon glycerol backbone'}, {'smiles': 'P(OC[C@H](OC(=O)CCCCCC[C@@H]1[C@H]([C@H](O)CC1=O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC)(O)(O)=O', 'name': 'PA(22:0/PGE1)', 'reason': 'Contains a phosphate group (with neutral head) and exactly two fatty acid esters attached to a connected three‐carbon glycerol backbone'}, {'smiles': 'P(OC[C@H](OC(=O)CCCCCC[C@@H]1[C@H]([C@H](O)C[C@@H]1O)/C=C/[C@@H](O)CCCCC)COC(=O)C)(O)(O)=O', 'name': 'PA(2:0/PGF1alpha)', 'reason': 'Contains a phosphate group (with neutral head) and exactly two fatty acid esters attached to a connected three‐carbon glycerol backbone'}]",
CDP-diacylglycerol,0.9523809523809523,"[{'smiles': 'CCCCC\\C=C/C\\C=C/C\\C=C/C\\C=C/CCCC(=O)OC[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O)OC(=O)CCC\\C=C/C\\C=C/C\\C=C/C\\C=C/CCCCC', 'name': 'CDP-1,2-diarachidonoyl-sn-glycerol(2-)', 'reason': 'Contains cytidine diphosphate group connected to glycerol backbone with two fatty acid chains'}]",
chalcogen,0.9523809523809523,[],
cholesteryl ester,0.9473684210526316,"[{'smiles': 'O(C1CC=2C(C3C(C4C(C(CC4)C(CCC(C(C)C)C)C)(CC3)C)CC2)(CC1)C)C(=O)CCCCCCC/C=C\\C/C=C\\C/C=C\\CC', 'name': 'Campesteryl alpha-linolenate', 'reason': 'Contains cholesterol backbone with acyl chain attached via ester bond'}]",
phosphatidyl-L-serine,0.9457364341085271,"[{'smiles': 'P(OC[C@H](OC(=O)CCC\\C=C\\C[C@@H]1[C@H]([C@H](O)C[C@@H]1O)/C=C/[C@@H](O)CCCCC)COC(=O)CCCC/C=C\\C/C=C\\C/C=C\\CCCCC)(OC[C@H](N)C(O)=O)(O)=O', 'name': 'PS(18:3(6Z,9Z,12Z)/PGF2alpha)', 'reason': 'Contains glycerol backbone with phosphate group, serine residue, and 2 fatty acids'}, {'smiles': 'P(OC[C@H](OC(=O)CCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC)(OC[C@H](N)C(O)=O)(O)=O', 'name': 'PS(14:0/17:0)', 'reason': 'Contains glycerol backbone with phosphate group, serine residue, and 2 fatty acids'}]",
